team,team_code,association,rank,previous_rank,points,previous_points,rank_change
Equatorial Guinea,EQG,CAF,98,98,1215.66,1215.33,0
Lebanon,LBN,AFC,99,100,1211.71,1211.71,1
Congo,CGO,CAF,100,99,1208.79,1215.09,-1
Kenya,KEN,CAF,101,102,1202.26,1202.26,1
Madagascar,MAD,CAF,102,105,1200.74,1193.78,3
Mauritania,MTN,CAF,103,107,1197.58,1181.86,4
Trinidad and Tobago,TRI,CONCACAF,104,101,1195.29,1205.85,-3
New Zealand,NZL,OFC,105,103,1193.98,1198.96,-2
India,IND,AFC,106,104,1192.09,1198.65,-2
Kosovo,KOS,UEFA,107,106,1187.01,1183.9,-1
Tajikistan,TJK,AFC,108,109,1185.7,1179.1,1
Estonia,EST,UEFA,109,110,1184.64,1177.4,1
Cyprus,CYP,UEFA,110,108,1183.82,1180.52,-2
Thailand,THA,AFC,111,111,1174.92,1170.69,0
Korea DPR,PRK,AFC,112,112,1169.96,1169.96,0
Kazakhstan,KAZ,UEFA,113,114,1166.63,1166.28,1
Mozambique,MOZ,CAF,114,116,1165.22,1165.41,2
Namibia,NAM,CAF,115,117,1164.13,1164.13,2
Guinea-Bissau,GNB,CAF,116,115,1160.71,1165.53,-1
Sierra Leone,SLE,CAF,117,113,1160.31,1169.71,-4
Guatemala,GUA,CONCACAF,118,118,1156.7,1161.96,0
Angola,ANG,CAF,119,120,1155.9,1149.08,1
Libya,LBY,CAF,120,121,1154.25,1148.36,1
Niger,NIG,CAF,121,119,1152.8,1155.23,-2
Faroe Islands,FRO,UEFA,122,125,1147.17,1136.29,3
Azerbaijan,AZE,UEFA,123,128,1146.72,1127.17,5
Malawi,MWI,CAF,124,122,1144.97,1144.77,-2
Zimbabwe,ZIM,CAF,125,123,1138.56,1138.56,-2
The Gambia,GAM,CAF,126,124,1137.47,1137.47,-2
Togo,TOG,CAF,127,126,1128.92,1130.22,-1
Sudan,SDN,CAF,128,130,1127.34,1124.91,2
Comoros,COM,CAF,129,127,1123.18,1127.44,-2
Tanzania,TAN,CAF,130,131,1119.89,1121.91,1
Antigua and Barbuda,ATG,CONCACAF,131,132,1117.01,1117.01,1
Central African Republic,CTA,CAF,132,133,1116.97,1116.06,1
Philippines,PHI,AFC,133,134,1115.13,1115.13,1
Latvia,LVA,UEFA,134,129,1114.21,1125.36,-5
Turkmenistan,TKM,AFC,135,135,1100.47,1100.47,0
Solomon Islands,SOL,OFC,136,137,1095.7,1092.56,1
Rwanda,RWA,CAF,137,136,1093.66,1095.04,-1
Ethiopia,ETH,CAF,138,138,1091.19,1088.27,0
Suriname,SUR,CONCACAF,139,143,1077.3,1072.24,4
St Kitts and Nevis,SKN,CONCACAF,140,140,1076.91,1076.91,0
Burundi,BDI,CAF,141,141,1076.26,1076.26,0
Nicaragua,NCA,CONCACAF,142,139,1071.83,1079.18,-3
Eswatini,SWZ,CAF,143,144,1070.89,1070.89,1
Lithuania,LTU,UEFA,144,142,1069.75,1074.08,-2
Hong Kong,HKG,AFC,145,147,1062.39,1058.37,2
Malaysia,MAS,AFC,146,148,1062.32,1057.59,2
Lesotho,LES,CAF,147,145,1061.4,1061.4,-2
Botswana,BOT,CAF,148,146,1056.46,1060.17,-2
Kuwait,KUW,AFC,149,149,1053.41,1053.41,0
Liberia,LBR,CAF,150,150,1049.66,1051.25,0
Andorra,AND,UEFA,151,152,1035.2,1028.7,1
Indonesia,IDN,AFC,152,155,1033.9,1019.19,3
Dominican Republic,DOM,CONCACAF,153,151,1031.86,1031.86,-2
Maldives,MDV,AFC,154,156,1026.09,1018.25,2
Yemen,YEM,AFC,155,153,1023.52,1023.52,-2
Afghanistan,AFG,AFC,156,154,1023.04,1023.04,-2
Chinese Taipei,TPE,AFC,157,157,1017.78,1017.78,0
Myanmar,MYA,AFC,158,158,1007.89,1011.91,0
Papua New Guinea,PNG,OFC,159,161,1007.46,997.6,2
Singapore,SGP,AFC,160,159,1003.5,1004.75,-1
New Caledonia,NCL,OFC,161,160,995.58,999.7,-1
Tahiti,TAH,OFC,162,162,995.11,995.11,0
Fiji,FIJ,OFC,163,163,989.43,993.37,0
Vanuatu,VAN,OFC,164,164,985.62,990.55,0
South Sudan,SSD,CAF,165,165,983.99,983.99,0
Barbados,BRB,CONCACAF,166,166,982.27,982.27,0
Cuba,CUB,CONCACAF,167,167,978.65,978.65,0
Malta,MLT,UEFA,168,169,977.92,974.68,1
Bermuda,BER,CONCACAF,169,168,977.47,977.47,-1
Puerto Rico,PUR,CONCACAF,170,170,974.32,974.32,0
Guyana,GUY,CONCACAF,171,172,968.74,968.74,1
St Lucia,LCA,CONCACAF,172,173,965.66,965.66,1
Grenada,GRN,CONCACAF,173,171,963.72,969.0,-2
Moldova,MDA,UEFA,174,177,961.23,944.96,3
Nepal,NEP,AFC,175,176,954.86,950.45,1
Belize,BLZ,CONCACAF,176,175,950.88,950.88,-1
Cambodia,CAM,AFC,177,174,948.62,954.3,-3
St Vincent and the Grenadines,VIN,CONCACAF,178,179,945.25,939.97,1
Montserrat,MSR,CONCACAF,179,178,940.78,940.78,-1
Mauritius,MRI,CAF,180,180,932.02,932.02,0
Chad,CHA,CAF,181,181,930.22,931.98,0
Macau,MAC,AFC,182,182,922.1,922.1,0
Mongolia,MNG,AFC,183,184,913.55,913.55,1
Dominica,DMA,CONCACAF,184,185,911.51,911.51,1
Bhutan,BHU,AFC,185,186,910.96,910.96,1
São Tomé and Príncipe,STP,CAF,186,187,908.18,908.18,1
Laos,LAO,AFC,187,183,905.51,914.66,-4
American Samoa,ASA,OFC,188,188,900.27,900.27,0
Cook Islands,COK,OFC,189,189,899.33,899.33,0
Brunei Darussalam,BRU,AFC,190,190,898.41,897.1,0
Samoa,SAM,OFC,191,191,894.26,894.26,0
Bangladesh,BAN,AFC,192,192,884.45,883.18,0
Djibouti,DJI,CAF,193,193,875.05,877.84,0
Pakistan,PAK,AFC,194,195,866.81,866.81,1
Cayman Islands,CAY,CONCACAF,195,196,865.72,865.72,1
Liechtenstein,LIE,UEFA,196,194,862.39,873.99,-2
Tonga,TGA,OFC,197,197,861.81,861.81,0
Timor-Leste,TLS,AFC,198,199,860.06,860.06,1
Seychelles,SEY,CAF,199,198,859.56,860.48,-1
Eritrea,ERI,CAF,200,201,855.56,855.56,1
Aruba,ARU,CONCACAF,201,202,855.37,855.37,1
Bahamas,BAH,CONCACAF,202,203,854.8,854.8,1
Somalia,SOM,CAF,203,204,854.72,854.72,1
Gibraltar,GIB,UEFA,204,200,852.16,856.55,-4
Guam,GUM,AFC,205,205,838.33,838.33,0
Turks and Caicos Islands,TCA,CONCACAF,206,206,832.0,832.0,0
Sri Lanka,SRI,AFC,207,207,825.25,825.25,0
US Virgin Islands,VIR,CONCACAF,208,208,823.97,823.97,0
British Virgin Islands,VGB,CONCACAF,209,209,809.32,809.32,0
Anguilla,AIA,CONCACAF,210,210,790.74,790.74,0
San Marino,SMR,UEFA,211,211,762.22,763.82,0
